algorithm_name,dataset_size,data_corelated,avg_execution_time,avg_memory_usage,worst_solution_fitness,best_solution_fitness,avg_solution_fitness,variance_solution_fitness
PBIL,1,True,0.010142,0.010288,0.668906,0.668906,0.668906,0.0
ClassicEvolutional,1,True,0.88985,0.049445,0.668906,0.668906,0.668906,0.0
PBIL,1,False,0.009898,0.010134,1.0,1.0,1.0,0.0
ClassicEvolutional,1,False,0.887677,0.049479,1.0,1.0,1.0,0.0
PBIL,2,True,0.010404,0.01079,1.849511,1.849511,1.849511,0.0
ClassicEvolutional,2,True,0.893946,0.053699,1.849511,1.849511,1.849511,0.0
PBIL,2,False,0.010209,0.01079,1.486206,1.486206,1.486206,0.0
ClassicEvolutional,2,False,0.897157,0.053692,1.486206,1.486206,1.486206,0.0
PBIL,3,True,0.010589,0.01334,2.748845,2.748845,2.748845,0.0
ClassicEvolutional,3,True,0.895743,0.057978,2.748845,2.748845,2.748845,0.0
PBIL,3,False,0.010535,0.01334,3.275964,3.275964,3.275964,0.0
ClassicEvolutional,3,False,0.89353,0.057978,3.275964,3.275964,3.275964,0.0
PBIL,4,True,0.010724,0.016428,8.526011,8.526011,8.526011,0.0
ClassicEvolutional,4,True,0.894285,0.062252,8.526011,8.526011,8.526011,0.0
PBIL,4,False,0.010795,0.016428,3.775383,3.775383,3.775383,0.0
ClassicEvolutional,4,False,0.900127,0.062258,3.775383,3.775383,3.775383,0.0
PBIL,5,True,0.011598,0.019516,7.649674,7.649674,7.649674,0.0
ClassicEvolutional,5,True,0.898855,0.066538,7.649674,7.649674,7.649674,0.0
PBIL,5,False,0.011046,0.019516,6.112845,6.112845,6.112845,0.0
ClassicEvolutional,5,False,0.897848,0.066538,6.112845,6.112845,6.112845,0.0
PBIL,6,True,0.011239,0.022604,6.343925,6.343925,6.343925,0.0
ClassicEvolutional,6,True,0.897872,0.070812,6.343925,6.343925,6.343925,0.0
PBIL,6,False,0.011382,0.022604,9.210902,9.210902,9.210902,0.0
ClassicEvolutional,6,False,0.899478,0.070818,9.210902,9.210902,9.210902,0.0
PBIL,7,True,0.011378,0.025692,10.408821,10.408821,10.408821,0.0
